conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1888591590027088136,Mon Feb 10 01:58:16 +0000 2025,2,@MurtadhaOne1 Coba kita tanya ke pak @prabowo @KemenkeuRI @DPR_RI Pemangkasan anggaran tuk penghematan? Trus danany yg terkumpul tuk apa pak? Tuk program makan siang gratis???,1888769421491195962,,MurtadhaOne1,in,,0,0,0,https://x.com/CahUtan/status/1888769421491195962,1462330927858667639,CahUtan
1888552248869073151,Mon Feb 10 00:55:42 +0000 2025,1,@Bdrt007 @__LOVE_AG4EVER Yang jelas dituduh menghina makan bergizi gratis. Nasgor arnold seporsi harganya paling murah 35rb belum tentu bergizi. Makan siang gratis 10rb ngaku bergizi. Tapi ya maaf syarat mendukung prabowo harus bodoh kata mas budiman.,1888753676707389804,,Bdrt007,in,DKI Djakarta,0,0,0,https://x.com/SangGuru2471/status/1888753676707389804,728949641421553665,SangGuru2471
1888746939677847674,Mon Feb 10 00:28:56 +0000 2025,0,Bukan hanya bansos kemungkinan terbesar terjadinya korupsi itu bisa terjadi di program presiden prabowo yaitu makan siang gratis jgn buka celah korupsi pak @prabowo krn pejabat kita ini jeli sekali melihat peluang utk di korupsi,1888746939677847674,,,in,"Kalimantan Barat, Indonesia",0,0,0,https://x.com/IrvanAUtama1/status/1888746939677847674,970898836452331520,IrvanAUtama1
1888588244855685421,Sun Feb 09 13:58:20 +0000 2025,151,Jng kalah ncu gembul @prabowo klu dia bisa gratisksn gas&amp;listrik untuk rakyat nya ncu pasti bisa lebih dari itu -gratis gas -gratis listrik -gratis makan siang -gratis pendidikan -gratis berobat&amp;cek kesehatan -Khusus buat emak bebas cicilan kutang. Ayo ncu kudu BISA! gkgkgk️,1888588244855685421,,,in,Di Jero Imah,1,43,40,https://x.com/KaredokLeunca__/status/1888588244855685421,1271319727751610385,KaredokLeunca__
1888571410479730877,Sun Feb 09 12:57:30 +0000 2025,0,@sampandaem bantu pak prabowo bagiin makan siang gratis,1888572935050600516,,sampandaem,in,R,0,1,0,https://x.com/chaostudye/status/1888572935050600516,1416965499863277568,chaostudye
1888096478868254851,Sun Feb 09 12:46:48 +0000 2025,0,@BANGSAygSUJUD @anthon_moh @prabowo @99propaganda @Alie_Fahnoor @are_inismyname @bitCarli77 @florieliciouss @gtobing2903 @HASBALL18439385 @hasanudinsajid @Ndons_Back @Kimberley_PS08 Karena ada makan siang gratis kan?,1888570244270108706,,BANGSAygSUJUD,in,,0,0,0,https://x.com/Robbygseb/status/1888570244270108706,1494870078076375040,Robbygseb
1888045087818662363,Sun Feb 09 12:17:53 +0000 2025,0,@ARSIPAJA Sian gegara Prabowo asbun janji makan siang gratis IKN jadi korban ,1888562965445759024,,ARSIPAJA,in,,0,0,0,https://x.com/Philosoccer2/status/1888562965445759024,1144994869863014400,Philosoccer2
1888026349023150378,Sun Feb 09 12:03:31 +0000 2025,0,@CNNIndonesia Pak @prabowo lebih baik makan siang gratis yang ditiadakan. Pendidikan dasar dan menangah sangat penting.,1888559351239184852,,CNNIndonesia,in,"Jakarta , indonesia",0,0,0,https://x.com/antonicl/status/1888559351239184852,112715572,antonicl
1888089173485064555,Sat Feb 08 11:09:51 +0000 2025,1,@tanyarlfes Gw gk peduli tentang semuanya yg penting program makan siang gratis lancar dan pak prabowo gemoy makin bahagia bisa terus joget oke gas prabowo love gibran forever,1888183458159357974,,tanyarlfes,in,,0,0,0,https://x.com/fafifuweswaswos/status/1888183458159357974,1795844141395628033,fafifuweswaswos
1888131617274925567,Sat Feb 08 10:28:05 +0000 2025,0,@mrcorleoneeeeee @islah_bahrawi @prabowo @Gerindra @habiburokhman iya iya tak ada makan siang gratis.. yg ada makan bergizi gratis https://t.co/ZSkG1eWDQK,1888172944381423781,https://pbs.twimg.com/media/GjQjG2saMAANqeI.jpg,mrcorleoneeeeee,in,,0,1,0,https://x.com/Dejavuu33/status/1888172944381423781,189455584,Dejavuu33
